timestamp,resultid,vote_count
2026-04-16T06:03:52.070Z,C0053,0
2026-04-16T06:03:52.070Z,B0008,0
2026-04-16T06:03:52.070Z,S0180,1
2026-04-16T06:03:52.070Z,C0308,0
2026-04-16T06:03:52.070Z,C0349,0
2026-04-16T06:03:52.070Z,A0104,0
2026-04-16T06:03:52.070Z,A0095,0
2026-04-16T06:03:52.070Z,C0295,12
2026-04-16T06:03:52.070Z,B0086,0
2026-04-16T06:03:52.070Z,C0213,0
2026-04-16T06:03:52.070Z,B0168,54
2026-04-16T06:03:52.070Z,A0246,0
2026-04-16T06:03:52.070Z,A0285,0
2026-04-16T06:03:52.070Z,C0054,0
2026-04-16T06:03:52.070Z,A0262,0
2026-04-16T06:03:52.070Z,C0252,0
2026-04-16T06:03:52.070Z,B0155,0
2026-04-16T06:03:52.070Z,S0104,0
2026-04-16T06:03:52.070Z,A0082,0
2026-04-16T06:03:52.070Z,A0252,0
2026-04-16T06:03:52.070Z,A0184,1
2026-04-16T06:03:52.070Z,S0184,0
2026-04-16T06:03:52.070Z,C0255,0
2026-04-16T06:03:52.070Z,S0204,0
2026-04-16T06:03:52.070Z,T0006,0
2026-04-16T06:03:52.070Z,S0098,0
2026-04-16T06:03:52.070Z,A0093,0
2026-04-16T06:03:52.070Z,C0183,0
2026-04-16T06:03:52.070Z,C0284,0
2026-04-16T06:03:52.070Z,A0044,0
2026-04-16T06:03:52.070Z,A0199,0
2026-04-16T06:03:52.070Z,A0201,0
2026-04-16T06:03:52.070Z,A0077,0
2026-04-16T06:03:52.070Z,C0111,0
2026-04-16T06:03:52.070Z,S0066,0
2026-04-16T06:03:52.070Z,A0037,0
2026-04-16T06:03:52.070Z,C0022,0
2026-04-16T06:03:52.070Z,B0106,2
2026-04-16T06:03:52.070Z,C0336,0
2026-04-16T06:03:52.070Z,S0079,0
2026-04-16T06:03:52.070Z,A0102,1
2026-04-16T06:03:52.070Z,C0080,0
2026-04-16T06:03:52.070Z,C0313,0
2026-04-16T06:03:52.070Z,S0112,0
2026-04-16T06:03:52.070Z,S0126,0
2026-04-16T06:03:52.070Z,C0058,0
2026-04-16T06:03:52.070Z,A0209,0
2026-04-16T06:03:52.070Z,C0352,9
2026-04-16T06:03:52.070Z,D0021,0
2026-04-16T06:03:52.070Z,S0136,0
2026-04-16T06:03:52.070Z,A0210,2
2026-04-16T06:03:52.070Z,A0020,5
2026-04-16T06:03:52.070Z,A0327,0
2026-04-16T06:03:52.070Z,A0069,0
2026-04-16T06:03:52.070Z,A0273,0
2026-04-16T06:03:52.070Z,C0104,0
2026-04-16T06:03:52.070Z,S0134,0
2026-04-16T06:03:52.070Z,B0166,1
2026-04-16T06:03:52.070Z,C0024,0
2026-04-16T06:03:52.070Z,A0186,0
2026-04-16T06:03:52.070Z,A0300,2
2026-04-16T06:03:52.070Z,C0327,1
2026-04-16T06:03:52.070Z,C0233,0
2026-04-16T06:03:52.070Z,S0081,0
2026-04-16T06:03:52.070Z,B0185,0
2026-04-16T06:03:52.070Z,S0117,0
2026-04-16T06:03:52.070Z,A0248,0
2026-04-16T06:03:52.070Z,C0129,0
2026-04-16T06:03:52.070Z,T0033,0
2026-04-16T06:03:52.070Z,B0171,0
2026-04-16T06:03:52.070Z,C0286,0
2026-04-16T06:03:52.070Z,S0176,0
2026-04-16T06:03:52.070Z,C0238,0
2026-04-16T06:03:52.070Z,C0310,0
2026-04-16T06:03:52.070Z,A0059,0
2026-04-16T06:03:52.070Z,B0143,0
2026-04-16T06:03:52.070Z,B0058,2
2026-04-16T06:03:52.070Z,C0015,0
2026-04-16T06:03:52.070Z,A0215,4
2026-04-16T06:03:52.070Z,C0044,0
2026-04-16T06:03:52.070Z,A0058,0
2026-04-16T06:03:52.070Z,S0197,0
2026-04-16T06:03:52.070Z,S0024,0
2026-04-16T06:03:52.070Z,T0030,0
2026-04-16T06:03:52.070Z,A0113,0
2026-04-16T06:03:52.070Z,A0046,26
2026-04-16T06:03:52.070Z,S0173,0
